date,kickoff,home,away,market,mwos_odds,p_model,p_blend,ev_per_unit,kelly_full,kelly_quarter,overround_1x2,signal
2026-09-03,21:00,Real Sociedad,Celta Vigo,AWAY (2),3.95,0.2873,0.2757,0.0891,0.0302,0.0076,0.0503,STRONG
2026-09-03,21:00,Real Sociedad,Celta Vigo,Over 2.5,1.84,0.6195,0.591,0.0874,0.104,0.026,0.0503,STRONG
2026-09-03,21:00,Real Sociedad,Celta Vigo,BTTS Yes,1.73,0.6245,0.6012,0.04,0.0548,0.0137,0.0503,BUY
2026-09-03,21:00,Real Sociedad,Celta Vigo,12,1.3,0.7738,0.7633,-0.0077,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,HOME (1),1.94,0.4865,0.4876,-0.0541,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,X2,1.78,0.5134,0.5124,-0.088,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,1X,1.22,0.7126,0.7242,-0.1165,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,DRAW (X),3.55,0.2261,0.2366,-0.16,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,BTTS No,1.96,0.3755,0.3988,-0.2183,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,Under 2.5,1.88,0.3805,0.409,-0.231,0.0,0.0,0.0503,SKIP
2026-09-04,20:30,Las Palmas,Leganes,AWAY (2),4.0,0.3073,0.2868,0.1471,0.049,0.0123,0.1102,STRONG
2026-09-04,20:30,Las Palmas,Leganes,Over 2.5,2.02,0.5382,0.5186,0.0476,0.0467,0.0117,0.1102,BUY
2026-09-04,20:30,Las Palmas,Leganes,BTTS Yes,1.87,0.5668,0.5477,0.0242,0.0278,0.007,0.1102,MARGINAL
2026-09-04,20:30,Las Palmas,Leganes,12,1.32,0.7541,0.7463,-0.0149,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,X2,1.81,0.5532,0.5405,-0.0217,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,1X,1.2,0.6927,0.7132,-0.1441,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,HOME (1),1.81,0.4468,0.4595,-0.1683,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,Under 2.5,1.72,0.4618,0.4814,-0.172,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,DRAW (X),3.25,0.2459,0.2537,-0.1754,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,BTTS No,1.8,0.4332,0.4523,-0.1859,0.0,0.0,0.1102,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,HOME (1),7.0,0.2641,0.2319,0.6236,0.1039,0.026,0.0546,STRONG
2026-09-04,21:00,Real Betis,Real Madrid,1X,2.7,0.4861,0.444,0.1989,0.117,0.0292,0.0546,STRONG
2026-09-04,21:00,Real Betis,Real Madrid,DRAW (X),5.2,0.222,0.2121,0.1029,0.0245,0.0061,0.0546,STRONG
2026-09-04,21:00,Real Betis,Real Madrid,Under 2.5,2.9,0.3785,0.3641,0.0558,0.0294,0.0073,0.0546,BUY
2026-09-04,21:00,Real Betis,Real Madrid,BTTS Yes,1.55,0.6194,0.6126,-0.0505,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,12,1.17,0.7781,0.788,-0.0781,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,BTTS No,2.25,0.3806,0.3874,-0.1283,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,Over 2.5,1.37,0.6215,0.6359,-0.1288,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,X2,1.09,0.736,0.7681,-0.1627,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,AWAY (2),1.39,0.514,0.556,-0.2271,0.0,0.0,0.0546,SKIP
2026-09-05,16:15,Bilbao,Atletico,HOME (1),3.0,0.4354,0.406,0.2179,0.1089,0.0272,0.0494,STRONG
2026-09-05,16:15,Bilbao,Atletico,Over 2.5,1.86,0.5916,0.5687,0.0578,0.0672,0.0168,0.0494,BUY
2026-09-05,16:15,Bilbao,Atletico,12,1.34,0.7637,0.7527,0.0086,0.0254,0.0063,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,BTTS Yes,1.67,0.6108,0.595,-0.0064,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,1X,1.52,0.6717,0.6533,-0.0071,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,DRAW (X),3.4,0.2363,0.2473,-0.1592,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,AWAY (2),2.37,0.3283,0.3467,-0.1782,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,BTTS No,2.02,0.3892,0.405,-0.1818,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,Under 2.5,1.86,0.4084,0.4313,-0.1978,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,X2,1.35,0.5646,0.594,-0.198,0.0,0.0,0.0494,SKIP
2026-09-06,16:15,Valencia,Barcelona,HOME (1),9.0,0.2422,0.2082,0.8735,0.1092,0.0273,0.0476,STRONG
2026-09-06,16:15,Valencia,Barcelona,1X,3.25,0.4503,0.4027,0.3089,0.1373,0.0343,0.0476,STRONG
2026-09-06,16:15,Valencia,Barcelona,DRAW (X),6.2,0.2081,0.1946,0.2063,0.0397,0.0099,0.0476,STRONG
2026-09-06,16:15,Valencia,Barcelona,BTTS Yes,1.68,0.6472,0.6219,0.0448,0.0658,0.0165,0.0476,BUY
2026-09-06,16:15,Valencia,Barcelona,Under 2.5,2.9,0.332,0.3292,-0.0453,0.0,0.0,0.0476,SKIP
2026-09-06,16:15,Valencia,Barcelona,Over 2.5,1.37,0.668,0.6708,-0.081,0.0,0.0,0.0476,SKIP
2026-09-06,16:15,Valencia,Barcelona,12,1.13,0.7919,0.8054,-0.0899,0.0,0.0,0.0476,SKIP
2026-09-06,16:15,Valencia,Barcelona,X2,1.06,0.7578,0.7918,-0.1607,0.0,0.0,0.0476,SKIP
