date,kickoff,home,away,market,mwos_odds,p_model,p_blend,ev_per_unit,kelly_full,kelly_quarter,overround_1x2,signal
2026-09-06,16:15,Valencia,Barcelona,AWAY (2),1.29,0.5497,0.5973,-0.2295,0.0,0.0,0.0476,SKIP
2026-09-06,16:15,Valencia,Barcelona,BTTS No,2.02,0.3528,0.3781,-0.2362,0.0,0.0,0.0476,SKIP
2026-09-06,18:30,Alaves,Osasuna,Over 2.5,2.42,0.5071,0.4764,0.1528,0.1076,0.0269,0.0472,STRONG
2026-09-06,18:30,Alaves,Osasuna,BTTS Yes,2.05,0.5376,0.5151,0.0559,0.0532,0.0133,0.0472,BUY
2026-09-06,18:30,Alaves,Osasuna,HOME (1),2.3,0.468,0.4548,0.046,0.0354,0.0089,0.0472,BUY
2026-09-06,18:30,Alaves,Osasuna,12,1.38,0.75,0.7355,0.015,0.0394,0.0099,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,AWAY (2),3.45,0.282,0.2807,-0.0316,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,1X,1.28,0.718,0.7193,-0.0793,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,X2,1.56,0.532,0.5452,-0.1495,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,DRAW (X),3.1,0.25,0.2645,-0.18,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,BTTS No,1.66,0.4624,0.4849,-0.195,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,Under 2.5,1.51,0.4929,0.5236,-0.2093,0.0,0.0,0.0472,SKIP
