date,kickoff,home,away,market,mwos_odds,p_model,p_blend,ev_per_unit,kelly_full,kelly_quarter,overround_1x2,signal
2026-09-04,21:00,Real Betis,Real Madrid,1X,2.7,0.4861,0.3767,0.0171,0.0101,0.0025,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,Under 2.5,2.9,0.3785,0.341,-0.011,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,12,1.17,0.7781,0.8038,-0.0595,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,BTTS Yes,1.55,0.6194,0.6017,-0.0674,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,Over 2.5,1.37,0.6215,0.659,-0.0972,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,BTTS No,2.25,0.3806,0.3983,-0.1037,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,X2,1.09,0.736,0.8195,-0.1067,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,AWAY (2),1.39,0.514,0.6233,-0.1336,0.0,0.0,0.0546,SKIP
2026-09-05,16:15,Bilbao,Atletico,HOME (1),3.0,0.4354,0.3589,0.0766,0.0383,0.0096,0.0494,BUY
2026-09-05,16:15,Bilbao,Atletico,Over 2.5,1.86,0.5916,0.5321,-0.0104,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,12,1.34,0.7637,0.7351,-0.0149,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,BTTS Yes,1.67,0.6108,0.5696,-0.0488,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,1X,1.52,0.6717,0.6237,-0.0519,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,DRAW (X),3.4,0.2363,0.2649,-0.0994,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,AWAY (2),2.37,0.3283,0.3763,-0.1083,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,Under 2.5,1.86,0.4084,0.4679,-0.1296,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,BTTS No,2.02,0.3892,0.4304,-0.1306,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,X2,1.35,0.5646,0.6411,-0.1345,0.0,0.0,0.0494,SKIP
2026-09-06,16:15,Valencia,Barcelona,HOME (1),9.0,0.2422,0.1537,0.3834,0.0479,0.012,0.0476,STRONG
2026-09-06,16:15,Valencia,Barcelona,DRAW (X),6.2,0.2081,0.1729,0.072,0.0139,0.0035,0.0476,BUY
2026-09-06,16:15,Valencia,Barcelona,1X,3.25,0.4503,0.3266,0.0615,0.0273,0.0068,0.0476,BUY
2026-09-06,16:15,Valencia,Barcelona,BTTS Yes,1.68,0.6472,0.5814,-0.0233,0.0,0.0,0.0476,SKIP
2026-09-06,16:15,Valencia,Barcelona,Under 2.5,2.9,0.332,0.3247,-0.0582,0.0,0.0,0.0476,SKIP
2026-09-06,16:15,Valencia,Barcelona,12,1.13,0.7919,0.8271,-0.0654,0.0,0.0,0.0476,SKIP
2026-09-06,16:15,Valencia,Barcelona,Over 2.5,1.37,0.668,0.6753,-0.0749,0.0,0.0,0.0476,SKIP
2026-09-06,16:15,Valencia,Barcelona,X2,1.06,0.7578,0.8463,-0.1029,0.0,0.0,0.0476,SKIP
2026-09-06,16:15,Valencia,Barcelona,AWAY (2),1.29,0.5497,0.6734,-0.1313,0.0,0.0,0.0476,SKIP
2026-09-06,16:15,Valencia,Barcelona,BTTS No,2.02,0.3528,0.4186,-0.1544,0.0,0.0,0.0476,SKIP
2026-09-06,18:30,Alaves,Osasuna,Over 2.5,2.42,0.5071,0.4272,0.0339,0.0239,0.006,0.0472,MARGINAL
2026-09-06,18:30,Alaves,Osasuna,HOME (1),2.3,0.468,0.4337,-0.0026,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,12,1.38,0.75,0.7123,-0.0171,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,BTTS Yes,2.05,0.5376,0.479,-0.0181,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,AWAY (2),3.45,0.282,0.2786,-0.0388,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,1X,1.28,0.718,0.7214,-0.0766,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,DRAW (X),3.1,0.25,0.2877,-0.1081,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,X2,1.56,0.532,0.5663,-0.1165,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,Under 2.5,1.51,0.4929,0.5728,-0.1351,0.0,0.0,0.0472,SKIP
2026-09-06,18:30,Alaves,Osasuna,BTTS No,1.66,0.4624,0.521,-0.1351,0.0,0.0,0.0472,SKIP
