date,kickoff,home,away,market,mwos_odds,p_model,p_blend,ev_per_unit,kelly_full,kelly_quarter,overround_1x2,signal
2026-09-03,21:00,Real Sociedad,Celta Vigo,AWAY (2),3.95,0.2873,0.2572,0.0161,0.0054,0.0014,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,Over 2.5,1.84,0.6195,0.5453,0.0034,0.004,0.001,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,BTTS Yes,1.73,0.6245,0.5638,-0.0246,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,12,1.3,0.7738,0.7465,-0.0295,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,HOME (1),1.94,0.4865,0.4893,-0.0508,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,X2,1.78,0.5134,0.5107,-0.091,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,1X,1.22,0.7126,0.7427,-0.0939,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,DRAW (X),3.55,0.2261,0.2535,-0.1002,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,BTTS No,1.96,0.3755,0.4362,-0.1451,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,Under 2.5,1.88,0.3805,0.4547,-0.1452,0.0,0.0,0.0503,SKIP
2026-09-04,20:30,Las Palmas,Leganes,AWAY (2),4.0,0.3073,0.2539,0.0157,0.0052,0.0013,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,Over 2.5,2.02,0.5382,0.4873,-0.0157,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,12,1.32,0.7541,0.7338,-0.0314,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,BTTS Yes,1.87,0.5668,0.5172,-0.0329,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,X2,1.81,0.5532,0.5201,-0.0585,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,1X,1.2,0.6927,0.7461,-0.1047,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,Under 2.5,1.72,0.4618,0.5127,-0.1182,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,BTTS No,1.8,0.4332,0.4828,-0.1309,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,HOME (1),1.81,0.4468,0.4799,-0.1315,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,DRAW (X),3.25,0.2459,0.2662,-0.1348,0.0,0.0,0.1102,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,HOME (1),7.0,0.2641,0.1805,0.2634,0.0439,0.011,0.0546,STRONG
2026-09-04,21:00,Real Betis,Real Madrid,DRAW (X),5.2,0.222,0.1962,0.0204,0.0049,0.0012,0.0546,MARGINAL
